Model,MAE,RMSE,R2
Linear Regression,0.4861644025414969,0.6753472424631178,0.6519453808117216
Ridge Regression,0.48616430237336716,0.6753558727744875,0.6519364851244621
Decision Tree,0.521418718433952,0.7239570506796142,0.6000379881918247
